         1 670.500000 533.000000            0            0            0                0          ?  20.000000   0.000000   0.000000   regions     circle
#
         2 343.500000 676.500000            0            0            0                0          ?  20.000000   0.000000   0.000000   regions     circle
#
         3 652.500000 310.500000            0            0            0                0          ?  20.000000   0.000000   0.000000   regions     circle
#
         4 445.500000 428.500000            0            0            0                0          ?  20.000000   0.000000   0.000000   regions     circle
#
         5 955.500000 304.500000            0            0            0                0          ?  20.000000   0.000000   0.000000   regions     circle
#
         6 224.500000 301.500000            0            0            0                0          ?  20.000000   0.000000   0.000000   regions     circle
#
         7 794.500000 391.500000            0            0            0                0          ?  20.000000   0.000000   0.000000   regions     circle
#
         8 639.500000 648.500000            0            0            0                0          ?  20.000000   0.000000   0.000000   regions     circle
#
