         1 1010.520000 1046.160000            0            0            0       2.2103e+06          ?  26.000000   0.000000   0.000000   regions     circle
#
         2 882.900000 1358.760000            0            0            0       1.9739e+06          ?  26.000000   0.000000   0.000000   regions     circle
#
         3 760.970000 1632.650000            0            0            0       2.0173e+06          ?  26.000000   0.000000   0.000000   regions     circle
#
         4 419.190000 807.370000            0            0            0       2.1291e+06          ?  26.000000   0.000000   0.000000   regions     circle
#
         5 1366.160000 542.900000            0            0            0       2.1811e+06          ?  26.000000   0.000000   0.000000   regions     circle
#
         6 1535.750000 1543.300000            0            0            0       2.3973e+06          ?  26.000000   0.000000  90.000000   regions     circle
#
         7 821.940000 1002.980000            0            0            0       1.9138e+06          ?  26.000000   0.000000   0.000000   regions     circle
#
